date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5,,,,,,
4/9/2020,12.05757772,9.765963939,9.662912621,34.45523193,42.22222222,29.44444444,53.08737864,22.82863307,15.95833333,,,,,,9.657577717
4/10/2020,17.89121306,15.64065097,15.59847645,32.75700215,41.11111111,29.44444444,57.16620499,22.79701447,16.95454545,,,,,,15.49121306
4/11/2020,18.41607703,16.27656033,16.26962552,34.29650177,41.66666667,28.88888889,53.10402219,22.80089382,19.95833333,,,,,,16.01607703
4/12/2020,17.54123559,15.4660749,15.33843273,34.48528279,41.66666667,28.88888889,51.9223301,22.60055479,19,,,,,,15.14123559
4/13/2020,14.17084423,11.77800554,11.80116343,34.52216066,41.66666667,28.88888889,53.54432133,23.07863958,18.45833333,,,,,,11.77084423
4/14/2020,13.4189379,11.04345354,11.06384189,34.48605332,41.11111111,30,54.25658807,23.41963323,17.375,,,,,,11.0189379
4/15/2020,14.73576847,12.32619972,12.38875173,34.46756049,41.66666667,28.33333333,53.73647712,23.18539066,20,,,,,,12.33576847
4/16/2020,19.6802757,17.45307906,17.50726768,34.10695022,41.11111111,30,55.50485437,23.50439205,23.54166667,,,,,,17.2802757
4/17/2020,20.34960155,18.34165049,18.23495146,33.31946371,38.88888889,30,56.48682386,23.10217291,24.29166667,,,,,,17.94960155
4/18/2020,14.07491666,11.69402219,11.7454785,33.66004007,38.88888889,30,56.20249653,23.34412082,19.45833333,,,,,,11.67491666
4/19/2020,11.85788884,9.398654646,9.468349515,33.0243489,39.44444444,28.88888889,56.81553398,22.96347665,16.29166667,,,,,,9.457888843
4/20/2020,10.14358029,7.65926491,7.676324549,33.08830328,38.88888889,28.88888889,55.72676838,22.60903067,13.25,,,,,,7.743580285
4/21/2020,15.00615294,12.72058252,12.68574202,33.25782093,41.66666667,27.77777778,54.24549237,22.27307752,16.5,,,,,,12.60615294
4/22/2020,22.98174331,20.9057975,20.95446602,30.40144861,32.77777778,26.11111111,61.45769764,21.94328864,22.41666667,,,,,,20.58174331
4/23/2020,28.43682323,26.59234397,26.69167822,32.25073201,41.11111111,27.77777778,54.32038835,21.36692865,26.20833333,,,,,,26.03682323
4/24/2020,19.57666496,17.45548611,17.48594444,33.74768519,41.66666667,28.88888889,53.16111111,22.01311728,17.41666667,,,,,,17.17666496
4/25/2020,15.67079863,13.32961165,13.36128988,32.75851441,39.44444444,28.33333333,56.22330097,22.46185853,16.16666667,,,,,,13.27079863
4/26/2020,28.82911823,26.60214979,26.97302358,27.99583911,31.66666667,23.88888889,69.71705964,21.7051934,21.41666667,,,,,,26.42911823
4/27/2020,18.10615212,15.53771151,15.87331484,31.68207736,37.77777778,26.66666667,57.94868239,21.96332255,17.95833333,,,,,,15.70615212
