date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5
4/16/2020,17.2802757,17.45307906,17.50726768,34.10695022,41.11111111,30,55.50485437,23.50439205,23.54166667
4/17/2020,17.94960155,18.34165049,18.23495146,33.31946371,38.88888889,30,56.48682386,23.10217291,24.29166667
4/18/2020,11.67491666,11.69402219,11.7454785,33.66004007,38.88888889,30,56.20249653,23.34412082,19.45833333
4/19/2020,9.457888843,9.398654646,9.468349515,33.0243489,39.44444444,28.88888889,56.81553398,22.96347665,16.29166667
4/20/2020,7.743580285,7.65926491,7.676324549,33.08830328,38.88888889,28.88888889,55.72676838,22.60903067,13.25
4/21/2020,12.60615294,12.72058252,12.68574202,33.25782093,41.66666667,27.77777778,54.24549237,22.27307752,16.5
4/22/2020,20.58174331,20.9057975,20.95446602,30.40144861,32.77777778,26.11111111,61.45769764,21.94328864,22.41666667
4/23/2020,26.03682323,26.59234397,26.69167822,32.25073201,41.11111111,27.77777778,54.32038835,21.36692865,26.20833333
4/24/2020,17.17666496,17.45548611,17.48594444,33.74768519,41.66666667,28.88888889,53.16111111,22.01311728,17.41666667
4/25/2020,13.27079863,13.32961165,13.36128988,32.75851441,39.44444444,28.33333333,56.22330097,22.46185853,16.16666667
4/26/2020,26.42911823,26.60214979,26.97302358,27.99583911,31.66666667,23.88888889,69.71705964,21.7051934,21.41666667
4/27/2020,15.70615212,15.53771151,15.87331484,31.68207736,37.77777778,26.66666667,57.94868239,21.96332255,17.95833333
4/28/2020,23.79865072,24.10879334,24.33993065,32.0087841,37.22222222,28.33333333,58.89320388,22.66759131,11.14285714
4/29/2020,15.83104317,16.07119279,16.12558946,33.28478964,39.44444444,28.33333333,54.21359223,22.17676067,16.08333333
4/30/2020,16.48285108,16.81212205,16.70852982,32.41793805,39.44444444,27.77777778,56.31345354,22.15903837,19.08333333
5/1/2020,22.00957719,22.36615811,22.51535368,33.27246109,38.88888889,28.33333333,53.57281553,22.18446602,26.54166667
5/2/2020,15.06753696,15.34312067,15.31661581,33.89736477,40,30,55.69902913,23.36261365,17.95833333
5/3/2020,12.07110265,12.07550624,12.15697642,31.32531977,38.33333333,25,63.53536755,23.28478964,14.54166667
5/4/2020,13.27579261,13.29877947,13.40676838,32.00107875,37.77777778,27.77777778,58.7739251,22.64062259,19.04166667
5/5/2020,19.24068104,19.61709722,19.61606944,33.36959877,39.44444444,29.44444444,56.86666667,23.31404321,20
5/6/2020,19.53211249,19.97325936,19.92683773,33.41346895,38.33333333,29.44444444,58.22191401,23.7871783,19.83333333
5/7/2020,14.72968516,14.91489598,14.8557975,33.45045462,38.88888889,28.88888889,57.43411928,23.56834643,18
5/8/2020,15.04175378,15.22797503,15.18079057,34.23640006,40.55555556,30,54.19417476,23.21158884,17.70833333
5/9/2020,11.921248,11.99098474,11.96414702,33.29172446,38.33333333,28.88888889,57.14979196,23.3148405,15.5
5/10/2020,17.92500757,18.11248611,18.00798611,31.4837963,37.22222222,26.11111111,61.68055556,22.86111111,19.70833333
5/11/2020,12.31966529,12.41243056,12.43438889,31.56404321,37.77777778,26.66666667,57.97638889,21.83719136,15.29166667
5/12/2020,21.12351654,21.63335645,21.43160888,32.69610109,38.88888889,28.33333333,54.9667129,22.08583757,19.125
5/13/2020,14.64484523,14.89889043,14.91672677,33.52827863,38.33333333,29.44444444,55.72399445,23.12374788,14.16666667
5/14/2020,9.706361711,9.810569444,9.777930556,33.92746914,38.88888889,30,55.1375,23.34490741,11.91666667
5/15/2020,18.03943893,18.21650418,18.33552925,33.4811204,38.33333333,29.44444444,57.13649025,23.50046425,16.16666667
5/16/2020,15.37702465,15.51894444,15.54983333,33.45138889,38.88888889,30,56.78333333,23.37191358,15.75
5/17/2020,17.48032123,17.73827778,17.67408333,33.63117284,39.44444444,30,55.67638889,23.16898148,15.70833333
5/18/2020,15.1572272,15.38079057,15.33563107,32.66836184,36.66666667,27.77777778,57.32732316,22.8425027,14.83333333
5/19/2020,19.04310337,19.31557103,19.17963788,32.45202724,37.22222222,28.33333333,56.72144847,22.45666976,19.45833333
5/20/2020,18.20170641,18.51282337,18.43936022,31.98269201,37.77777778,26.11111111,58.92906815,22.64719518,16.45833333
5/21/2020,28.33045304,28.96716273,28.81787204,32.00123628,37.22222222,27.77777778,58.44367177,22.61165199,23
5/22/2020,27.57672334,27.82766434,27.79285315,31.77544678,35.55555556,28.33333333,57.86153846,22.23310023,23.125
5/23/2020,23.86848456,24.27965229,24.228637,31.87683511,37.77777778,26.11111111,56.3852573,21.85829084,22.79166667
5/24/2020,27.91826104,28.44027778,28.59283333,32.14583333,36.66666667,28.33333333,58.95,22.82330247,20.45833333
5/25/2020,20.54376689,20.83401389,20.96406944,29.17052469,33.88888889,25,66.13333333,21.94212963,17.375
5/26/2020,14.01341815,13.97600834,14.07151599,31.28496368,37.77777778,25.55555556,57.19054242,21.40241076,14.75
5/27/2020,20.2220654,20.58305556,20.53694444,31.27083333,36.11111111,26.66666667,60.8375,22.52160494,18.41666667
5/28/2020,17.39845738,17.60119444,17.66480556,29.93132716,36.66666667,23.33333333,63.9875,22.01466049,14.41666667
5/29/2020,19.67347251,19.80140473,20.00764951,31.02457116,35.55555556,26.66666667,60.09596662,22.08777623,21.16666667
5/30/2020,22.38481274,22.83670833,22.92443056,30.24228395,35.55555556,25.55555556,64.07916667,22.37345679,19.75
5/31/2020,7.821582191,7.702600834,7.780917942,31.2138773,37.22222222,25.55555556,59.71070932,22.03059805,10
6/1/2020,17.3724726,17.5649096,17.63243394,31.37845773,36.11111111,26.66666667,60.65785814,22.57379076,14.54166667
6/2/2020,27.92770152,28.47231944,28.6135,28.81867284,35,23.33333333,65.37222222,21.4375,22.58333333
6/3/2020,33.47701035,34.36383866,34.42418637,31.01916242,36.66666667,25,57.90125174,21.34059651,27.29166667
6/4/2020,18.41958964,18.50591099,18.71324061,30.87312626,36.11111111,26.11111111,61.60639777,22.35898625,18.79166667
6/5/2020,18.08201773,18.57218359,18.42253129,31.82970175,37.77777778,26.66666667,52.91515994,20.57332715,19.91666667
6/6/2020,17.77069581,18.04798611,18.11270833,31.25540123,36.11111111,26.11111111,59.4,22.14429012,18.83333333
6/7/2020,14.94634893,15.08769124,15.07445063,31.38850255,35.55555556,26.11111111,59.84144645,22.35280482,14.83333333
6/8/2020,17.48607114,17.59676389,17.70161111,31.43981481,35,27.22222222,59.16388889,22.22762346,15.375
6/9/2020,12.78490331,12.69481944,12.86927778,29.81790123,32.77777778,25.55555556,62.90972222,21.70216049,13.83333333
6/10/2020,13.24433127,13.29799722,13.36012517,29.63375058,34.44444444,24.44444444,65.32545202,22.15808994,15.29166667
6/11/2020,10.42346392,10.386875,10.44391667,29.51697531,33.33333333,24.44444444,61.81805556,21.12962963,11.08333333
6/12/2020,17.96550756,18.0194993,18.22607789,29.87791686,33.88888889,26.11111111,63.7232267,22.00664503,16.08333333
6/13/2020,26.59960528,26.91390821,27.26436718,30.17539793,33.33333333,26.11111111,64.24895688,22.47875135,19.25
